  LP_start         AL        AS2        BS2        PM7        PM8        LLC        PM1        PM3        PM6        LLD        AS1        BS1     LP_end
    [1, 1]     [1, 2]     [2, 3]     [1, 3]     [2, 4]     [1, 4]     [1, 5]     [1, 6]     [1, 7]     [1, 8]     [1, 9]    [2, 10]    [1, 10]    [1, 11]
    [2, 1]     [2, 2]     [3, 3]     [5, 3]     [3, 4]     [6, 4]     [2, 5]     [2, 6]     [2, 7]     [2, 8]     [2, 9]    [3, 10]    [4, 10]    [2, 11]
    [3, 1]     [3, 2]     [4, 3]     [7, 3]     [4, 4]     [8, 4]     [3, 5]     [3, 6]     [3, 7]     [3, 8]     [3, 9]    [7, 10]    [5, 10]    [3, 11]
    [4, 1]     [4, 2]     [6, 3]    [10, 3]     [5, 4]     [9, 4]     [4, 5]     [4, 6]     [4, 7]     [4, 8]     [4, 9]    [8, 10]    [6, 10]    [4, 11]
    [5, 1]     [5, 2]     [8, 3]    [12, 3]     [7, 4]    [10, 4]     [5, 5]     [5, 6]     [5, 7]     [5, 8]     [5, 9]    [9, 10]   [10, 10]    [5, 11]
    [6, 1]     [6, 2]     [9, 3]    [13, 3]    [11, 4]    [12, 4]     [6, 5]     [6, 6]     [6, 7]     [6, 8]     [6, 9]   [11, 10]   [13, 10]    [6, 11]
    [7, 1]     [7, 2]    [11, 3]    [14, 3]    [13, 4]    [14, 4]     [7, 5]     [7, 6]     [7, 7]     [7, 8]     [7, 9]   [12, 10]   [15, 10]    [7, 11]
    [8, 1]     [8, 2]    [15, 3]    [16, 3]    [16, 4]    [15, 4]     [8, 5]     [8, 6]     [8, 7]     [8, 8]     [8, 9]   [14, 10]   [17, 10]    [8, 11]
    [9, 1]     [9, 2]    [18, 3]    [17, 3]    [18, 4]    [17, 4]     [9, 5]     [9, 6]     [9, 7]     [9, 8]     [9, 9]   [16, 10]   [21, 10]    [9, 11]
   [10, 1]    [10, 2]    [21, 3]    [19, 3]    [20, 4]    [19, 4]    [10, 5]    [10, 6]    [10, 7]    [10, 8]    [10, 9]   [18, 10]   [23, 10]   [10, 11]
   [11, 1]    [11, 2]    [23, 3]    [20, 3]    [24, 4]    [21, 4]    [11, 5]    [11, 6]    [11, 7]    [11, 8]    [11, 9]   [19, 10]   [24, 10]   [11, 11]
   [12, 1]    [12, 2]    [24, 3]    [22, 3]    [25, 4]    [22, 4]    [12, 5]    [12, 6]    [12, 7]    [12, 8]    [12, 9]   [20, 10]   [25, 10]   [12, 11]
   [13, 1]    [13, 2]          .    [25, 3]          .    [23, 4]    [13, 5]    [13, 6]    [13, 7]    [13, 8]    [13, 9]   [22, 10]          .   [13, 11]
   [14, 1]    [14, 2]          .          .          .          .    [14, 5]    [14, 6]    [14, 7]    [14, 8]    [14, 9]          .          .   [14, 11]
   [15, 1]    [15, 2]          .          .          .          .    [15, 5]    [15, 6]    [15, 7]    [15, 8]    [15, 9]          .          .   [15, 11]
   [16, 1]    [16, 2]          .          .          .          .    [16, 5]    [16, 6]    [16, 7]    [16, 8]    [16, 9]          .          .   [16, 11]
   [17, 1]    [17, 2]          .          .          .          .    [17, 5]    [17, 6]    [17, 7]    [17, 8]    [17, 9]          .          .   [17, 11]
   [18, 1]    [18, 2]          .          .          .          .    [18, 5]    [18, 6]    [18, 7]    [18, 8]    [18, 9]          .          .   [18, 11]
   [19, 1]    [19, 2]          .          .          .          .    [19, 5]    [19, 6]    [19, 7]    [19, 8]    [19, 9]          .          .   [19, 11]
   [20, 1]    [20, 2]          .          .          .          .    [20, 5]    [20, 6]    [20, 7]    [20, 8]    [20, 9]          .          .   [20, 11]
   [21, 1]    [21, 2]          .          .          .          .    [21, 5]    [21, 6]    [21, 7]    [21, 8]    [21, 9]          .          .   [21, 11]
   [22, 1]    [22, 2]          .          .          .          .    [22, 5]    [22, 6]    [22, 7]    [22, 8]    [22, 9]          .          .   [22, 11]
   [23, 1]    [23, 2]          .          .          .          .    [23, 5]    [23, 6]    [23, 7]    [23, 8]    [23, 9]          .          .   [23, 11]
   [24, 1]    [24, 2]          .          .          .          .    [24, 5]    [24, 6]    [24, 7]    [24, 8]    [24, 9]          .          .   [24, 11]
   [25, 1]    [25, 2]          .          .          .          .    [25, 5]    [25, 6]    [25, 7]    [25, 8]    [25, 9]          .          .   [25, 11]
